5.3104 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x133162cf8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x138de9c18>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3104 	EXP 	window1: recordFrameIntervals = False
5.4772 	EXP 	window1: recordFrameIntervals = True
5.6606 	EXP 	window1: recordFrameIntervals = False
5.7494 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='deg', win=Window(...), wrapWidth=15.0)
5.7558 	EXP 	window1: mouseVisible = False
5.7578 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
5.8274 	EXP 	text: text = 'In this task, we will show you a variety of pictures. Please identify the object in the picture as fast as you can with a single word. As soon as you think of the word, say it out loud. For example, if we show you a picture of a boat, you say "BOAT." Some images could have more than one answer. Just say the best answer.\n\n'
5.8274 	EXP 	text: autoDraw = True
6.3326 	EXP 	Imported images.csv as conditions, 48 conditions, 1 params
6.3330 	EXP 	Created sequence: random, trialTypes=48, nReps=1, seed=None
6.3332 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimFile', 'Images/Hammerclr.jpg')])
6.3966 	DATA 	Keypress: space
6.4105 	EXP 	text: autoDraw = False
6.4105 	EXP 	image: ori = 0
6.4105 	EXP 	image: ori = 0.0
6.4105 	EXP 	image: size = array([0.62444444, 0.43777778])
6.4105 	EXP 	image: image = 'Images/Hammerclr.jpg'
7.1773 	EXP 	image: autoDraw = True
7.5874 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimFile', 'Images/Lightbulbclr.jpg')])
7.5978 	DATA 	Keypress: space
7.6100 	EXP 	image: autoDraw = False
7.6100 	EXP 	image: ori = 0
7.6100 	EXP 	image: ori = 0.0
7.6100 	EXP 	image: size = array([0.43777778, 0.62444444])
7.6100 	EXP 	image: image = 'Images/Lightbulbclr.jpg'
8.3106 	EXP 	image: autoDraw = True
8.5447 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimFile', 'Images/Mouseclr.jpg')])
8.5551 	DATA 	Keypress: space
8.5779 	EXP 	image: autoDraw = False
8.5779 	EXP 	image: ori = 0
8.5779 	EXP 	image: ori = 0.0
8.5779 	EXP 	image: size = array([0.62444444, 0.43777778])
8.5779 	EXP 	image: image = 'Images/Mouseclr.jpg'
9.4608 	EXP 	image: autoDraw = True
9.8120 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimFile', 'Images/Monkeyclr.jpg')])
9.8218 	DATA 	Keypress: space
9.8439 	EXP 	image: autoDraw = False
9.8439 	EXP 	image: ori = 0
9.8439 	EXP 	image: ori = 0.0
9.8439 	EXP 	image: size = array([0.62444444, 0.43777778])
9.8439 	EXP 	image: image = 'Images/Monkeyclr.jpg'
10.7950 	EXP 	image: autoDraw = True
11.1624 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimFile', 'Images/Sunclr.jpg')])
11.1728 	DATA 	Keypress: space
11.1956 	EXP 	image: autoDraw = False
11.1956 	EXP 	image: ori = 0
11.1956 	EXP 	image: ori = 0.0
11.1956 	EXP 	image: size = array([0.62444444, 0.43777778])
11.1956 	EXP 	image: image = 'Images/Sunclr.jpg'
11.7954 	EXP 	image: autoDraw = True
12.1176 	DATA 	Keypress: right
